SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),GHGEmissions(MetricTonsCO2e)_log,SiteEnergyUse(kBtu)_log
1250669.0,8.72,0.02,2.2741856184723477,14.039189965681793
5101817.0,57.03,0.34,4.060960118202517,15.445107504762245
6455470.0,45.0,0.1,3.828641396489095,15.680438546293427
4368113.0,66.23,0.45,4.208119576480946,15.289841894967406
8691444.0,145.82,0.8,4.989207346682635,15.97784976650208
1023418.0,7.13,0.02,2.0955609235597192,13.838659540746551
2757588.0,81.92,0.51,4.417876287567579,14.829867305200915
6583940.0,89.41,0.66,4.504354880749275,15.70014406018103
2962476.0,20.65,0.09,3.075005454448499,14.901536300682306
5448687.0,196.67,3.07,5.286598973593838,15.510885403713406
2255026.0,44.06,0.33,3.8079949350040985,14.628672504239697
4678999.0,32.62,0.14,3.5151211279804695,15.358594969848353
8787353.0,61.26,0.12,4.131319165013462,15.988824200453788
7752682.0,54.05,0.19,4.008241863168689,15.863549534966758
8168547.0,63.06,0.12,4.159820144181012,15.915801727663302
4656777.0,60.02,0.41,4.1112016792885235,15.353834350654324
5288304.0,69.71,0.36,4.25858700561615,15.48100833661133
5207349.0,153.12,1.04,5.037731519757957,15.465581647093666
2643948.0,27.66,0.21,3.3555024224000256,14.787784190811552
8063959.0,71.38,0.49,4.281930018135596,15.902915308963523
2625300.0,18.3,0.14,2.9601050959108397,14.780706114100807
6618215.0,50.14,0.18,3.9345669698630408,15.705336405190371
1990749.0,13.88,0.1,2.700018029404946,14.50402201011969
6797528.0,163.11,1.21,5.100536934691537,15.732069721754028
8201974.0,57.18,0.1,4.063541653067055,15.919885536892432
8631444.0,92.21,0.31,4.5348550120730655,15.97092248820894
4108523.0,39.44,0.24,3.6998193941522706,15.228574397884328
4335178.0,30.22,0.19,3.441058915087286,15.282273459155139
2265487.0,66.77,0.84,4.216119619148022,14.633300746231338
6102883.0,133.54,1.24,4.90186155259746,15.62427200430028
6233927.0,54.51,0.18,4.01656318470207,15.645517189675832
1796889.0,12.53,0.05,2.604909442182697,14.401567950759096
4247457.0,117.75,1.94,4.7770204429147505,15.261831244309825
2505271.0,78.15,1.33,4.371344786327021,14.733907869440744
7323351.0,154.96,1.17,5.049599564114397,15.806578704619794
7144738.0,174.97,3.07,5.17031352596367,15.781886839637616
2019254.0,50.27,0.53,3.9371057857956093,14.518239189468371
5530880.0,73.77,0.56,4.314416735011824,15.525857673648634
2290681.0,15.97,0.03,2.831447079246135,14.64436014778575
666392.0,4.65,0.01,1.7316555451583497,13.40963486557792
5415438.0,87.07,0.56,4.478131952817368,15.504764506229943
1907697.0,13.3,0.1,2.6602595372658615,14.46140783754019
2645229.0,18.44,0.06,2.967332799032293,14.788268576015776
888308.0,21.24,0.31,3.1018924693823817,13.697074934418726
1189402.0,13.55,0.1,2.6775909936175015,13.988962058531591
1033846.0,7.21,0.02,2.105352923464337,13.848797354049786
1520326.0,10.6,0.07,2.451005098112319,14.234436001263926
1243807.0,19.98,0.1,3.043569602968151,14.033688199533476
5229981.0,124.92,1.49,4.835646784669093,15.469918394352582
746776.0,19.06,0.21,2.9987277825337895,13.52352189210366
2467851.0,97.97,1.55,4.5948167739086,14.718858694624199
4751090.0,33.12,0.19,3.5298837226234783,15.37388483384797
823495.0,5.74,0.07,1.9080599249242156,13.621313971271702
1122999.0,7.83,0.06,2.178155014615869,13.93151423372058
678843.0,4.73,0.08,1.7457155307266483,13.428146630512533
1777005.0,12.39,0.06,2.5945081597030812,14.390440483608296
807358.0,5.63,0.05,1.891604804197771,13.601523705829228
797435.0,27.69,1.18,3.3565486299932736,13.589156859637171
2198064.0,82.72,1.7,4.427477897577799,14.60308798584694
4992165.0,94.21,0.51,4.5560849782976,15.423380441683653
1388352.0,60.07,2.24,4.112020747235043,14.143628710480904
1696009.0,11.82,0.1,2.551006451492524,14.343788991543018
1310481.0,27.86,0.86,3.3624565533457247,14.085905566435702
2438430.0,17.0,0.14,2.8903717578961645,14.706865357648244
1857387.0,36.42,0.8,3.6222053208459437,14.434681757659265
6447259.0,44.96,0.06,3.827771452980555,15.679165792314688
2254391.0,35.37,0.3,3.5937442589988975,14.628390871504216
1929828.0,13.45,0.08,2.670694414558441,14.472941955919495
684155.0,32.87,1.55,3.5225296668296804,13.435941240776078
651616.0,4.54,0.06,1.7119945007591924,13.387212244995236
2504797.0,54.62,0.8,4.018542848805819,14.73371865052707
1040478.0,7.25,0.06,2.1102132003465894,13.855191742007637
1056099.0,23.79,0.55,3.210440346047099,13.870093435734566
672953.0,4.69,0.05,1.7387102481382397,13.419432255622203
1909346.0,67.97,1.26,4.2336716274432,14.462271856750121
4046866.0,126.27,0.79,4.846310814003956,15.21345355946821
2483320.0,101.23,2.05,4.627225176768922,14.725107335232346
2465266.0,70.16,1.73,4.264930862797635,14.717810676023147
338141.0,2.36,0.03,1.2119409739751128,12.731221204583349
577601.0,4.03,0.05,1.6154199841116479,13.266640329158637
654313.0,4.56,0.07,1.715598108262491,13.391342637541651
